Task,Type,Time,,,Season,Category,Year,Start,End,method
Set Settlement Devices,Wild Spat - Collected,20,72,3,Fall,Seed Procurement,Seed Culture,2000-08-01,2000-08-04,Lantern Net
Collect Settlement Device,Wild Spat - Collected,40,120,5,Spring,Seed Procurement,Seed Culture,2001-02-01,2001-02-06,Lantern Net
Process Settlement Device,Wild Spat - Collected,40,120,5,Spring,Seed Procurement,Seed Culture,2001-02-01,2001-02-06,Lantern Net
Spat Stocking,Wild Spat - Collected,19.2,72,3,Spring,Seed Procurement,Seed Culture,2001-02-01,2001-02-04,Lantern Net
Spat Collector Construction,Wild Spat - Collected,9.6,48,2,Winter,Seed procurement,Seed Culture,2000-11-01,2000-11-03,Lantern Net
Restock,Intermediate - Lantern Net,84,264,11,Summer,Restocking,Intermediate Culture,2002-05-01,2002-05-12,Lantern Net
Cleaning,Intermediate - Lantern Net,84,264,11,Spring,Cleaning/Gear Maintenance,Intermediate Culture,2001-02-01,2001-02-12,Lantern Net
Lantern Net Cleaning (Summer),Intermediate - Lantern Net,84,264,11,Summer,Cleaning/Gear Maintenance,Intermediate Culture,2002-05-01,2002-05-12,Lantern Net
Lantern Net Cleaning (Fall),Intermediate - Lantern Net,84,264,11,Fall,Cleaning/Gear Maintenance,Intermediate Culture,2000-08-01,2000-08-12,Lantern Net
Previous Year Net Cleaning (on Land),Intermediate - Lantern Net,3.84,24,1,Fall,Cleaning/Gear Maintenance,Intermediate Culture,2000-08-01,2000-08-02,Lantern Net
Restock,Lantern Net,183.75,552,23,Summer,Restocking,Grow-Out Culture (2 Years),2002-05-01,2002-05-24,Lantern Net
Lantern Net Cleaning (Spring),Lantern Net,183.75,552,23,Spring,Cleaning/Gear Maintenance,Grow-Out Culture (2 Years),2001-02-01,2001-02-24,Lantern Net
Lantern Net Cleaning (Summer),Lantern Net,183.75,552,23,Summer,Cleaning/Gear Maintenance,Grow-Out Culture (2 Years),2002-05-01,2002-05-24,Lantern Net
Lantern Net Cleaning (Fall),Lantern Net,183.75,552,23,Fall,Cleaning/Gear Maintenance,Grow-Out Culture (2 Years),2000-08-01,2000-08-24,Lantern Net
Previous Year Net Cleaning (on Land),Lantern Net,33.6,120,5,Fall,Cleaning/Gear Maintenance,Grow-Out Culture (2 Years),2000-08-01,2000-08-06,Lantern Net
Lantern Net Cleaning (Spring),Lantern Net,160.78125,504,21,Spring,Cleaning/Gear Maintenance,Grow-Out Culture (2 Years),2001-02-01,2001-02-22,Lantern Net
Lantern Net Cleaning (Summer),Lantern Net,160.78125,504,21,Summer,Cleaning/Gear Maintenance,Grow-Out Culture (2 Years),2002-05-01,2002-05-22,Lantern Net
Harvest,Global,375.15625,1128,47,Fall,Harvest,Grow-Out Culture (2 Years),2000-08-01,2000-09-17,Lantern Net
Harvest Net Cleaning,Lantern Net,73.5,240,10,Fall,Cleaning/Gear Maintenance,Grow-Out Culture (2 Years),2000-08-01,2000-08-11,Lantern Net
Set Settlement Devices,Wild Spat - Collected,32.5,120,5,Fall,Seed Procurement,Seed Culture,2000-08-01,2000-08-06,Ear Hanging
Collect Settlement Device,Wild Spat - Collected,65,216,9,Spring,Seed Procurement,Seed Culture,2001-02-01,2001-02-10,Ear Hanging
Process Settlement Device,Wild Spat - Collected,65,216,9,Spring,Seed Procurement,Seed Culture,2001-02-01,2001-02-10,Ear Hanging
Spat Stocking,Wild Spat - Collected,31.2,96,4,Spring,Seed Procurement,Seed Culture,2001-02-01,2001-02-05,Ear Hanging
Spat Collector Construction,Wild Spat - Collected,15.6,48,2,Winter,Seed procurement,Seed Culture,2000-11-01,2000-11-03,Ear Hanging
Restock,Intermediate - Lantern Net,136.5,432,18,Summer,Restocking,Intermediate Culture,2002-05-01,2002-05-19,Ear Hanging
Lantern Net Cleaning (Spring),Intermediate - Lantern Net,136.5,432,18,Spring,Cleaning/Gear Maintenance,Intermediate Culture,2001-02-01,2001-02-19,Ear Hanging
Lantern Net Cleaning (Summer),Intermediate - Lantern Net,136.5,432,18,Summer,Cleaning/Gear Maintenance,Intermediate Culture,2002-05-01,2002-05-19,Ear Hanging
Lantern Net Cleaning (Fall),Intermediate - Lantern Net,136.5,432,18,Fall,Cleaning/Gear Maintenance,Intermediate Culture,2000-08-01,2000-08-19,Ear Hanging
Previous Year Net Cleaning (on Land),Intermediate - Lantern Net,6.24,24,1,Fall,Cleaning/Gear Maintenance,Intermediate Culture,2000-08-01,2000-08-02,Ear Hanging
Drilling + Pinning: Automated Drilling,Ear Hanging,199.0625,600,25,Fall,Ear Hanging,Grow-Out Culture (2 Years),2000-08-01,2000-08-26,Ear Hanging
Dropper Line Construction,Ear Hanging,60.94285714,192,8,Fall,Ear Hanging,Grow-Out Culture (2 Years),2000-08-01,2000-08-09,Ear Hanging
Dropper Line Cleaning (Spring),Ear Hanging,32.81538462,120,5,Spring,Cleaning/Gear Maintenance,Grow-Out Culture (2 Years),2001-02-01,2001-02-06,Ear Hanging
Dropper Line Cleaning (Summer),Ear Hanging,32.81538462,120,5,Summer,Cleaning/Gear Maintenance,Grow-Out Culture (2 Years),2002-05-01,2002-05-06,Ear Hanging
Dropper Line Cleaning (Fall),Ear Hanging,32.81538462,120,5,Fall,Cleaning/Gear Maintenance,Grow-Out Culture (2 Years),2000-08-01,2000-08-06,Ear Hanging
Previous Year Net Cleaning (on Land),Ear Hanging,54.6,168,7,Fall,Cleaning/Gear Maintenance,Grow-Out Culture (2 Years),2000-08-01,2000-08-08,Ear Hanging
Dropper Line Cleaning (Spring),Ear Hanging,32.81538462,120,5,Spring,Cleaning/Gear Maintenance,Grow-Out Culture (2 Years),2001-02-01,2001-02-06,Ear Hanging
Dropper Line Cleaning (Summer),Ear Hanging,32.81538462,120,5,Summer,Cleaning/Gear Maintenance,Grow-Out Culture (2 Years),2002-05-01,2002-05-06,Ear Hanging
Harvest,Global,609.6289063,1848,77,Fall,Harvest,Grow-Out Culture (2 Years),2000-08-01,2000-10-17,Ear Hanging
Harvest Depinning + Cleaning,Ear Hanging,28.44,96,4,Fall,Cleaning/Gear Maintenance,Grow-Out Culture (2 Years),2000-08-01,2000-08-05,Ear Hanging