"","Product","Harvest.Year","Harvest.Season","Grow.Out.Method","Lease.Footprint..Acres.","Sea.Days"
"1",50000,"Y4","Fall","Ear Hanging",5.27349147347986,38
"2",60000,"Y4","Fall","Ear Hanging",5.27349147347986,41
"3",70000,"Y4","Fall","Ear Hanging",5.27349147347986,48
"4",80000,"Y4","Fall","Ear Hanging",7.91023721021979,51
"5",90000,"Y4","Fall","Ear Hanging",7.91023721021979,53
"6",100000,"Y4","Fall","Ear Hanging",7.91023721021979,68
"7",110000,"Y4","Fall","Ear Hanging",7.91023721021979,73
"8",120000,"Y4","Fall","Ear Hanging",10.5469829469597,79
"9",130000,"Y4","Fall","Ear Hanging",10.5469829469597,82
"10",140000,"Y4","Fall","Ear Hanging",10.5469829469597,88
"11",150000,"Y4","Fall","Ear Hanging",13.1837286836996,93
"12",160000,"Y4","Fall","Ear Hanging",13.1837286836996,97
"13",170000,"Y4","Fall","Ear Hanging",13.1837286836996,103
"14",180000,"Y4","Fall","Ear Hanging",13.1837286836996,106
"15",190000,"Y4","Fall","Ear Hanging",15.8204744204396,113
"16",200000,"Y4","Fall","Ear Hanging",15.8204744204396,123
"17",210000,"Y4","Fall","Ear Hanging",15.8204744204396,132
"18",220000,"Y4","Fall","Ear Hanging",15.8204744204396,134
"19",230000,"Y4","Fall","Ear Hanging",18.4572201571795,140
"20",240000,"Y4","Fall","Ear Hanging",18.4572201571795,143
"21",250000,"Y4","Fall","Ear Hanging",18.4572201571795,147
"22",260000,"Y4","Fall","Ear Hanging",21.0939658939194,155
"23",270000,"Y4","Fall","Ear Hanging",21.0939658939194,158
"24",280000,"Y4","Fall","Ear Hanging",21.0939658939194,164
"25",290000,"Y4","Fall","Ear Hanging",21.0939658939194,175
"26",300000,"Y4","Fall","Ear Hanging",23.7307116306594,182
"27",310000,"Y4","Fall","Ear Hanging",23.7307116306594,186
"28",320000,"Y4","Fall","Ear Hanging",23.7307116306594,189
"29",330000,"Y4","Fall","Ear Hanging",23.7307116306594,196
"30",340000,"Y4","Fall","Ear Hanging",26.3674573673993,200
"31",350000,"Y4","Fall","Ear Hanging",26.3674573673993,207
"32",360000,"Y4","Fall","Ear Hanging",26.3674573673993,210
"33",370000,"Y4","Fall","Ear Hanging",29.0042031041392,217
"34",380000,"Y4","Fall","Ear Hanging",29.0042031041392,220
"35",390000,"Y4","Fall","Ear Hanging",29.0042031041392,234
"36",400000,"Y4","Fall","Ear Hanging",29.0042031041392,237
"37",410000,"Y4","Fall","Ear Hanging",31.6409488408792,242
"38",420000,"Y4","Fall","Ear Hanging",31.6409488408792,248
"39",430000,"Y4","Fall","Ear Hanging",31.6409488408792,251
"40",440000,"Y4","Fall","Ear Hanging",31.6409488408792,259
"41",450000,"Y4","Fall","Ear Hanging",34.2776945776191,261
"42",460000,"Y4","Fall","Ear Hanging",34.2776945776191,268
"43",470000,"Y4","Fall","Ear Hanging",34.2776945776191,271
"44",480000,"Y4","Fall","Ear Hanging",36.914440314359,279
"45",490000,"Y4","Fall","Ear Hanging",36.914440314359,289
"46",500000,"Y4","Fall","Ear Hanging",36.914440314359,291
"47",50000,"Y4","Fall","Lantern Net",7.91023721021979,58
"48",60000,"Y4","Fall","Lantern Net",7.91023721021979,66
"49",70000,"Y4","Fall","Lantern Net",10.5469829469597,76
"50",80000,"Y4","Fall","Lantern Net",10.5469829469597,84
"51",90000,"Y4","Fall","Lantern Net",13.1837286836996,92
"52",100000,"Y4","Fall","Lantern Net",13.1837286836996,107
"53",110000,"Y4","Fall","Lantern Net",15.8204744204396,116
"54",120000,"Y4","Fall","Lantern Net",15.8204744204396,128
"55",130000,"Y4","Fall","Lantern Net",15.8204744204396,134
"56",140000,"Y4","Fall","Lantern Net",18.4572201571795,146
"57",150000,"Y4","Fall","Lantern Net",18.4572201571795,156
"58",160000,"Y4","Fall","Lantern Net",21.0939658939194,164
"59",170000,"Y4","Fall","Lantern Net",21.0939658939194,176
"60",180000,"Y4","Fall","Lantern Net",23.7307116306594,184
"61",190000,"Y4","Fall","Lantern Net",23.7307116306594,194
"62",200000,"Y4","Fall","Lantern Net",26.3674573673993,205
"63",210000,"Y4","Fall","Lantern Net",26.3674573673993,218
"64",220000,"Y4","Fall","Lantern Net",29.0042031041392,225
"65",230000,"Y4","Fall","Lantern Net",29.0042031041392,237
"66",240000,"Y4","Fall","Lantern Net",29.0042031041392,241
"67",250000,"Y4","Fall","Lantern Net",31.6409488408792,249
"68",260000,"Y4","Fall","Lantern Net",31.6409488408792,261
"69",270000,"Y4","Fall","Lantern Net",34.2776945776191,269
"70",280000,"Y4","Fall","Lantern Net",34.2776945776191,281
"71",290000,"Y4","Fall","Lantern Net",36.914440314359,292
"72",300000,"Y4","Fall","Lantern Net",36.914440314359,304
"73",310000,"Y4","Fall","Lantern Net",39.5511860510989,311
"74",320000,"Y4","Fall","Lantern Net",39.5511860510989,319
"75",330000,"Y4","Fall","Lantern Net",42.1879317878389,331
"76",340000,"Y4","Fall","Lantern Net",42.1879317878389,341
"77",350000,"Y4","Fall","Lantern Net",42.1879317878389,353
"78",360000,"Y4","Fall","Lantern Net",44.8246775245788,361
"79",370000,"Y4","Fall","Lantern Net",44.8246775245788,371
"80",380000,"Y4","Fall","Lantern Net",47.4614232613187,379
"81",390000,"Y4","Fall","Lantern Net",47.4614232613187,394
"82",400000,"Y4","Fall","Lantern Net",50.0981689980587,402
"83",410000,"Y4","Fall","Lantern Net",50.0981689980587,411
"84",420000,"Y4","Fall","Lantern Net",52.7349147347986,423
"85",430000,"Y4","Fall","Lantern Net",52.7349147347986,431
"86",440000,"Y4","Fall","Lantern Net",55.3716604715385,442
"87",450000,"Y4","Fall","Lantern Net",55.3716604715385,450
"88",460000,"Y4","Fall","Lantern Net",55.3716604715385,462
"89",470000,"Y4","Fall","Lantern Net",58.0084062082785,466
"90",480000,"Y4","Fall","Lantern Net",58.0084062082785,474
"91",490000,"Y4","Fall","Lantern Net",60.6451519450184,489
"92",500000,"Y4","Fall","Lantern Net",60.6451519450184,495
